Clients,Average,Std.Dev
5,503.625,1.11102
5,503.625,1.11102
5,503.625,1.11102
5,503.625,1.11102
5,503.625,1.11102
5,503.429,1.39971
5,503.429,1.67819
5,503.429,1.67819
5,503.429,1.67819
5,503.429,1.39971
5,505.167,3.07770
5,505.167,3.07770
5,505.333,3.49603
5,505.333,3.49603
5,505.167,3.07770
5,502.667,0.471405
5,502.667,0.471405
5,502.667,0.471405
5,502.667,0.471405
5,502.667,0.471405
5,503.250,1.19896
5,503.250,1.19896
5,503.250,1.19896
5,503.250,1.19896
5,503.250,1.19896
5,502.333,1.15470
5,502.333,1.15470
5,502.333,1.15470
5,502.333,1.15470
5,502.333,1.15470
5,503.000,0.00000
5,503.000,0.00000
5,503.000,0.00000
5,503.000,0.00000
5,503.000,0.00000
5,502.375,0.695971
5,502.375,0.695971
5,502.375,0.695971
5,502.375,0.695971
5,502.375,0.695971
5,502.545,1.15708
5,502.545,1.30479
5,502.545,1.30479
5,502.545,1.23315
5,502.545,1.30479
