Clients,Average,Std.Dev
5,505.545,2.53570
5,505.417,2.46503
5,505.300,2.53180
5,505.455,2.57130
5,505.100,2.30000
5,504.000,1.96116
5,503.929,2.15354
5,503.923,2.01767
5,503.857,1.95876
5,503.846,2.03228
5,503.308,1.20158
5,503.429,1.17803
5,503.429,1.04978
5,503.429,0.979379
5,503.333,1.10554
5,503.750,1.73805
5,503.455,1.49931
5,503.750,1.73805
5,503.750,1.73805
5,503.545,1.82725
5,502.750,1.01036
5,502.667,1.02740
5,502.667,1.02740
5,502.667,1.02740
5,502.636,1.06794
5,502.417,0.759203
5,502.286,0.795395
5,502.385,0.737820
5,502.385,0.737820
5,502.333,0.745356
5,502.286,0.880631
5,502.286,0.880631
5,502.375,0.856957
5,502.375,0.856957
5,502.375,0.856957
5,504.167,1.46249
5,503.444,1.49897
5,503.444,1.49897
5,503.444,1.57135
5,503.500,1.65831
5,503.583,1.55233
5,503.750,2.00520
5,503.583,1.55233
5,503.273,1.21288
5,503.727,1.76279
5,502.091,0.792527
5,502.167,0.799305
5,502.167,0.799305
5,502.167,0.687184
5,502.083,0.759203
10,502.692,2.08970
10,502.667,1.92931
10,502.692,2.23210
10,502.308,2.23210
10,502.400,1.42829
10,502.750,1.83144
10,502.385,1.27330
10,502.417,1.25554
10,502.538,1.86529
10,502.833,2.33928
10,502.333,1.56347
10,502.563,1.22315
10,502.588,1.53618
10,502.647,1.13455
10,502.500,1.16667
10,502.556,1.21208
10,502.588,1.37451
10,502.467,1.02415
10,502.647,1.18526
10,502.438,1.17094
10,502.091,1.08331
10,502.182,1.11340
10,502.100,1.04403
10,502.182,1.11340
10,502.300,1.10000
10,502.182,1.11340
10,502.273,1.05235
10,502.273,1.05235
10,502.182,1.11340
10,502.091,1.83177
10,502.267,1.12349
10,502.154,0.661717
10,502.267,0.771722
10,502.167,0.986013
10,502.333,0.788811
10,502.231,0.973009
10,502.333,1.19257
10,502.067,1.33998
10,502.308,0.910166
10,502.333,1.07497
10,502.786,1.61150
10,502.929,1.22266
10,502.875,1.21835
10,502.929,1.22266
10,502.875,1.21835
10,503.000,1.26491
10,502.867,1.45449
10,502.600,1.62481
10,502.875,1.21835
10,502.688,1.60930
10,503.385,2.52795
10,503.154,1.45951
10,503.308,1.89674
10,503.083,1.32025
10,503.417,2.25308
10,503.083,1.93470
10,503.333,2.35702
10,503.167,1.99304
10,503.250,1.29904
10,503.417,2.13925
10,502.545,0.987525
10,502.500,1.11803
10,504.000,4.07431
10,503.545,3.82251
10,502.700,1.00499
10,502.400,1.11355
10,503.727,3.97929
10,502.545,1.07565
10,502.455,1.07565
10,503.800,4.26146
10,501.706,0.748701
10,501.611,0.590564
10,501.706,0.748701
10,501.647,0.588235
10,501.294,0.955769
10,501.647,0.588235
10,501.294,0.955769
10,501.600,0.800000
10,501.647,0.903664
10,501.611,0.590564
10,502.800,2.19697
10,502.769,1.80401
10,502.765,2.41392
10,502.765,2.12905
10,502.813,2.18571
10,502.706,2.10782
10,502.765,2.12905
10,502.765,2.12905
10,502.813,2.65091
10,502.706,2.10782
10,502.158,1.34803
10,502.050,1.43091
10,502.263,1.20709
10,502.263,1.06830
10,502.421,1.18392
10,502.421,1.53265
10,502.368,1.22305
10,502.350,1.27574
10,502.412,1.37451
10,502.350,1.23592
15,502.735,2.14625
15,502.719,1.90779
15,502.727,1.76279
15,502.824,2.07889
15,502.794,1.74524
15,502.839,1.96906
15,502.800,1.75336
15,502.824,1.77351
15,502.818,2.23545
15,502.788,1.77111
15,502.771,1.69176
15,502.882,2.13878
15,502.781,2.01144
15,502.848,1.92466
15,502.939,2.21482
15,502.667,1.55329
15,502.682,1.63447
15,502.609,1.66130
15,502.714,1.69433
15,502.682,2.03126
15,502.696,1.87512
15,502.684,1.83683
15,502.429,1.29363
15,502.952,1.49527
15,502.696,1.80422
15,502.762,1.71561
15,502.652,1.54944
15,502.350,1.27574
15,502.652,1.63145
15,502.696,2.07333
15,503.667,2.00000
15,503.375,2.39466
15,503.125,1.45237
15,503.000,1.50000
15,503.667,2.05480
15,503.556,2.49938
15,503.778,2.24983
15,503.875,2.36841
15,503.875,2.31503
15,502.875,2.61904
15,503.778,2.34652
15,503.667,2.26078
15,503.750,2.10654
15,503.125,1.45237
15,503.556,2.11403
15,503.600,1.01980
15,503.800,0.748331
15,503.778,1.03040
15,503.600,1.11355
15,503.800,0.871780
15,503.600,1.01980
15,503.900,1.37477
15,503.667,1.49071
15,503.700,1.00499
15,503.700,1.00499
15,503.900,1.37477
15,503.800,1.16619
15,504.000,1.05409
15,502.667,3.59011
15,503.600,1.01980
15,502.667,0.942809
15,503.000,0.632456
15,502.667,0.942809
15,502.833,0.687184
15,502.667,0.942809
15,502.833,0.897527
15,502.667,0.942809
15,502.833,0.897527
15,503.000,0.577350
15,503.000,0.632456
15,502.833,0.897527
15,502.833,0.687184
15,503.000,0.577350
15,502.833,0.687184
15,502.800,0.400000
15,504.250,0.433013
15,503.800,0.979796
15,503.600,1.01980
15,503.800,0.400000
15,503.600,1.01980
15,504.000,1.09545
15,503.600,1.01980
15,503.800,1.16619
15,504.000,1.26491
15,503.250,0.829156
15,504.000,0.707107
15,504.000,0.632456
15,503.600,0.800000
15,504.000,1.63299
